[10:50:43] [INFO] received Windows console close event; shutting log-core down
[10:52:03] [INFO] received Windows console close event; shutting log-core down
[11:20:33] [INFO] received Windows console close event; shutting log-core down
[19:21:55] [INFO] received Windows console close event; shutting log-core down
[20:54:13] [INFO] received Windows console close event; shutting log-core down
[20:57:29] [INFO] received Windows console close event; shutting log-core down
[21:19:42] [INFO] received Windows console close event; shutting log-core down
[21:22:23] [INFO] received Windows console close event; shutting log-core down
[21:23:47] [INFO] received Windows console close event; shutting log-core down
[21:27:13] [INFO] received Windows console close event; shutting log-core down
[21:36:35] [INFO] received Windows console close event; shutting log-core down
[23:15:10] [INFO] received Windows console close event; shutting log-core down
[00:09:48] [INFO] received Windows console close event; shutting log-core down
[15:50:10] [INFO] received Windows console close event; shutting log-core down
[19:36:36] [INFO] received Windows console close event; shutting log-core down
[19:44:56] [INFO] received Windows console close event; shutting log-core down
[21:03:38] [INFO] received Windows console close event; shutting log-core down
[00:14:25] [INFO] received Windows console close event; shutting log-core down
[00:36:22] [INFO] received Windows console close event; shutting log-core down
[01:21:43] [INFO] received Windows console close event; shutting log-core down
[18:11:24] [INFO] received Windows console close event; shutting log-core down
[21:54:10] [INFO] received Windows console close event; shutting log-core down
[01:39:56] [INFO] received Windows console close event; shutting log-core down
[05:23:39] [INFO] received Windows console close event; shutting log-core down
[20:28:09] [INFO] received Windows console close event; shutting log-core down
[20:30:37] [INFO] received Windows console close event; shutting log-core down
[20:32:49] [INFO] received Windows console close event; shutting log-core down
[20:45:21] [INFO] received Windows console close event; shutting log-core down
[20:47:27] [INFO] received Windows console close event; shutting log-core down
[20:47:45] [INFO] received Windows console close event; shutting log-core down
[20:51:25] [INFO] received Windows console close event; shutting log-core down
[21:16:10] [INFO] received Windows console close event; shutting log-core down
[21:44:09] [INFO] received Windows console close event; shutting log-core down
[22:56:37] [INFO] received Windows console close event; shutting log-core down
[23:19:14] [INFO] received Windows console close event; shutting log-core down
[22:03:37] [INFO] received Windows console close event; shutting log-core down
[23:49:16] [INFO] received Windows console close event; shutting log-core down
[19:26:18] [INFO] received Windows console close event; shutting log-core down
[05:45:47] [INFO] received Windows console close event; shutting log-core down
[01:26:28] [INFO] received Windows console close event; shutting log-core down
[20:28:24] [INFO] received Windows console close event; shutting log-core down
[20:37:31] [INFO] received Windows console close event; shutting log-core down
[21:31:32] [INFO] received Windows console close event; shutting log-core down
[22:13:36] [INFO] received Windows console close event; shutting log-core down
[22:15:20] [INFO] received Windows console close event; shutting log-core down
[22:18:38] [INFO] received Windows console close event; shutting log-core down
[20:45:23] [INFO] received Windows console close event; shutting log-core down
[20:48:36] [INFO] received Windows console close event; shutting log-core down
[21:44:41] [INFO] received Windows console close event; shutting log-core down
[03:53:44] [INFO] received Windows console close event; shutting log-core down
[04:26:20] [INFO] received Windows console close event; shutting log-core down
[04:28:23] [INFO] received Windows console close event; shutting log-core down
[04:40:15] [INFO] received Windows console close event; shutting log-core down
[05:00:53] [INFO] received Windows console close event; shutting log-core down
[21:38:26] [INFO] received Windows console close event; shutting log-core down
[22:09:46] [INFO] received Windows console close event; shutting log-core down
[22:14:17] [INFO] received Windows console close event; shutting log-core down
[22:40:39] [INFO] received Windows console close event; shutting log-core down
[22:50:42] [INFO] received Windows console close event; shutting log-core down
[22:53:47] [INFO] received Windows console close event; shutting log-core down
[22:55:17] [INFO] received Windows console close event; shutting log-core down
[22:57:38] [INFO] received Windows console close event; shutting log-core down
[23:02:01] [INFO] received Windows console close event; shutting log-core down
[23:04:06] [INFO] received Windows console close event; shutting log-core down
[23:09:35] [INFO] received Windows console close event; shutting log-core down
[23:10:27] [INFO] received Windows console close event; shutting log-core down
[23:11:34] [INFO] received Windows console close event; shutting log-core down
[23:12:15] [INFO] received Windows console close event; shutting log-core down
[23:13:13] [INFO] received Windows console close event; shutting log-core down
[23:14:00] [INFO] received Windows console close event; shutting log-core down
[23:16:14] [INFO] received Windows console close event; shutting log-core down
[23:16:47] [INFO] received Windows console close event; shutting log-core down
[23:17:55] [INFO] received Windows console close event; shutting log-core down
[23:19:32] [INFO] received Windows console close event; shutting log-core down
[23:24:10] [INFO] received Windows console close event; shutting log-core down
[23:27:20] [INFO] received Windows console close event; shutting log-core down
[23:34:32] [INFO] received Windows console close event; shutting log-core down
[23:34:51] [INFO] received Windows console close event; shutting log-core down
[23:36:23] [INFO] received Windows console close event; shutting log-core down
[23:45:11] [INFO] received Windows console close event; shutting log-core down
[23:45:12] [INFO] received Windows console close event; shutting log-core down
[23:47:34] [INFO] received Windows console close event; shutting log-core down
[23:49:32] [INFO] received Windows console close event; shutting log-core down
[23:49:36] [INFO] received Windows console close event; shutting log-core down
[23:54:15] [INFO] received Windows console close event; shutting log-core down
[00:00:12] [INFO] received Windows console close event; shutting log-core down
[00:13:08] [INFO] received Windows console close event; shutting log-core down
[00:16:13] [INFO] received Windows console close event; shutting log-core down
[00:22:24] [INFO] received Windows console close event; shutting log-core down
[01:04:53] [INFO] received Windows console close event; shutting log-core down
[01:07:11] [INFO] received Windows console close event; shutting log-core down
[01:10:36] [INFO] received Windows console close event; shutting log-core down
[01:12:25] [INFO] received Windows console close event; shutting log-core down
[01:52:26] [INFO] received Windows console close event; shutting log-core down
[04:00:58] [INFO] received Windows console close event; shutting log-core down
[04:03:36] [INFO] received Windows console close event; shutting log-core down
[05:06:23] [INFO] received Windows console close event; shutting log-core down
[05:35:35] [INFO] received Windows console close event; shutting log-core down
[05:39:28] [INFO] received Windows console close event; shutting log-core down
[06:02:29] [INFO] received Windows console close event; shutting log-core down
[06:04:35] [INFO] received Windows console close event; shutting log-core down
[17:39:59] [INFO] received Windows console close event; shutting log-core down
[18:17:40] [INFO] received Windows console close event; shutting log-core down
[18:30:38] [INFO] received Windows console close event; shutting log-core down
[18:31:30] [INFO] received Windows console close event; shutting log-core down
[18:35:00] [INFO] received Windows console close event; shutting log-core down
[18:39:38] [INFO] received Windows console close event; shutting log-core down
[18:47:54] [INFO] received Windows console close event; shutting log-core down
[18:55:50] [INFO] received Windows console close event; shutting log-core down
[19:07:36] [INFO] received Windows console close event; shutting log-core down
[19:14:06] [INFO] received Windows console close event; shutting log-core down
[23:09:48] [INFO] received Windows console close event; shutting log-core down
[23:17:24] [INFO] received Windows console close event; shutting log-core down
[23:53:04] [INFO] received Windows console close event; shutting log-core down
[00:33:21] [INFO] received Windows console close event; shutting log-core down
[00:36:19] [INFO] received Windows console close event; shutting log-core down
[00:38:24] [INFO] received Windows console close event; shutting log-core down
[00:45:13] [INFO] received Windows console close event; shutting log-core down
[00:49:36] [INFO] received Windows console close event; shutting log-core down
[00:55:53] [INFO] received Windows console close event; shutting log-core down
[00:58:11] [INFO] received Windows console close event; shutting log-core down
[01:10:24] [INFO] received Windows console close event; shutting log-core down
[01:10:26] [INFO] received Windows console close event; shutting log-core down
[01:16:32] [INFO] received Windows console close event; shutting log-core down
[01:16:33] [INFO] received Windows console close event; shutting log-core down
[01:23:23] [INFO] received Windows console close event; shutting log-core down
[01:34:42] [INFO] received Windows console close event; shutting log-core down
[01:56:18] [INFO] received Windows console close event; shutting log-core down
[03:01:09] [INFO] received Windows console close event; shutting log-core down
[03:23:52] [INFO] received Windows console close event; shutting log-core down
[03:30:36] [INFO] received Windows console close event; shutting log-core down
[03:32:45] [INFO] received Windows console close event; shutting log-core down
[03:32:55] [INFO] received Windows console close event; shutting log-core down
[03:40:10] [INFO] received Windows console close event; shutting log-core down
[19:10:05] [INFO] received Windows console close event; shutting log-core down
[19:12:25] [INFO] received Windows console close event; shutting log-core down
[19:15:28] [INFO] received Windows console close event; shutting log-core down
[21:10:43] [INFO] received Windows console close event; shutting log-core down
[21:19:09] [INFO] received Windows console close event; shutting log-core down
